STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,indic_he,Health indicator,unit,Unit of measure,sex,Sex,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2020,,7391.8,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2021,,7702.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,DE,Germany,2014,,2478.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,DE,Germany,2015,,2440.4,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,DE,Germany,2016,,2447.6,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,DE,Germany,2017,,2446.2,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,DE,Germany,2018,,2455.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,DE,Germany,2019,,2500.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,DE,Germany,2020,,2287.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,DE,Germany,2021,,2270.8,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,ES,Spain,2014,,975.8,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,ES,Spain,2015,,903.1,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,ES,Spain,2016,,991.1,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,ES,Spain,2017,,969.9,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,ES,Spain,2018,,971.1,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,ES,Spain,2019,,972.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,ES,Spain,2020,,850.2,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,ES,Spain,2021,,911.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,FR,France,2014,,1122.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,FR,France,2015,,1099.7,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,FR,France,2016,,1109.6,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,FR,France,2017,,1086.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,FR,France,2018,,1077.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,FR,France,2019,,1057.1,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,FR,France,2020,,962.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,FR,France,2021,,988.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,IT,Italy,2014,,1123.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,IT,Italy,2015,,1109.2,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,IT,Italy,2016,,1111.8,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,IT,Italy,2017,,1108.7,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,IT,Italy,2018,,1117.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,IT,Italy,2019,,1095.6,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,IT,Italy,2020,,947.7,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,IT,Italy,2021,,1026.7,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,PT,Portugal,2014,,744.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,PT,Portugal,2015,,734.9,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,PT,Portugal,2018,,813.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,PT,Portugal,2019,,861.9,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,PT,Portugal,2020,,731.6,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,C00-D48,Neoplasms,PT,Portugal,2021,,769.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2014,,1735.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2015,,1718.9,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2016,,1691.7,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2017,,1675.4,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2018,,1653.3,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2019,,1644.2,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2020,,1416.3,,,,,
