STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,indic_he,Health indicator,unit,Unit of measure,sex,Sex,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,DE,Germany,2014,,9.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,DE,Germany,2015,,9.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,DE,Germany,2016,,9.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,DE,Germany,2017,,9.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,DE,Germany,2018,,8.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,DE,Germany,2019,,8.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,DE,Germany,2020,,8.4,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,DE,Germany,2021,,8.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,ES,Spain,2014,,7.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,ES,Spain,2015,,8.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,ES,Spain,2016,,8.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,ES,Spain,2017,,8.4,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,ES,Spain,2018,,8.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,ES,Spain,2019,,8.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,ES,Spain,2020,,7.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,ES,Spain,2021,,7.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,FR,France,2014,,7.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,FR,France,2015,,7.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,FR,France,2016,,7.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,FR,France,2017,,7.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,FR,France,2018,,7.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,FR,France,2019,,7.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,FR,France,2020,,7.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,FR,France,2021,,6.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,IT,Italy,2014,,8.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,IT,Italy,2015,,8.6,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,IT,Italy,2016,,8.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,IT,Italy,2017,,8.4,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,IT,Italy,2018,,8.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,IT,Italy,2019,,8.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,IT,Italy,2020,,8.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,IT,Italy,2021,,7.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,PT,Portugal,2014,,10.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,PT,Portugal,2015,,10.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,PT,Portugal,2018,,9.4,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,PT,Portugal,2019,,9.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,PT,Portugal,2020,,9.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,C00-D48,Neoplasms,PT,Portugal,2021,,8.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2014,,24.4,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2015,,24.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2016,,25.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2017,,25.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2018,,26.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2019,,26.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2020,,26.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),DE,Germany,2021,,26.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),ES,Spain,2014,,25.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),ES,Spain,2015,,26.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),ES,Spain,2016,,26.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),ES,Spain,2017,,36.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),ES,Spain,2018,,56.4,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),ES,Spain,2019,,50.6,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),ES,Spain,2020,,60.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),ES,Spain,2021,,53.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),FR,France,2014,,5.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),FR,France,2015,,5.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),FR,France,2016,,22.7,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),FR,France,2017,,22.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),FR,France,2018,,23.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),FR,France,2019,,23.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),FR,France,2020,,25.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),FR,France,2021,,24.2,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,F,Mental and behavioural disorders (F00-F99),IT,Italy,2014,,13.9,,,,,
